industry_pair,stock_pair,spread_std,total_avg_volume,annualized_return,max_drawdown,sharpe_ratio
医药生物-电子,"('000739.SZ', '000636.SZ')",0.9299753899718693,447712526.79365075,10.55744396,-0.5370524738122431,1.8020838872430707
医药生物-电力设备,"('301301.SZ', '601179.SH')",1.4534417178216261,1201863309.1904762,1574.85162435,-2.216286094760524,-3.6308611753402156
医药生物-电力设备,"('600521.SH', '601179.SH')",1.113608991419879,955047443.5555556,1574.85162435,-2.216286094760524,-3.6308611753402156
医药生物-非银金融,"('603707.SH', '601162.SH')",0.7737303569969615,2074947361.3333335,211.67437178000006,-4.601084294696092,-2.616102137192978
医药生物-非银金融,"('600079.SH', '601456.SH')",1.2568736971906207,1087131262.8253968,211.67437178000006,-4.601084294696092,-2.616102137192978
医药生物-基础化工,"('301301.SZ', '600096.SH')",1.457194853330951,1103576557.0,-0.9769696399999998,-0.99371752993489,0.134397029112499
医药生物-基础化工,"('600079.SH', '600096.SH')",1.3945859462306887,994414853.2063491,-0.9769696399999998,-0.99371752993489,0.134397029112499
医药生物-国防军工,"('600521.SH', '600765.SH')",1.1203594961527938,756561709.0476191,0.43694701000000014,-0.13114441938362387,1.0327598987715845
医药生物-国防军工,"('000623.SZ', '600118.SH')",1.416913129877204,697061602.3174603,0.43694701000000014,-0.13114441938362387,1.0327598987715845
医药生物-计算机,"('000623.SZ', '600131.SH')",1.1023316210858505,523654656.952381,1.6786384300000003,-1.7421303752546613,-1.3045180789859967
医药生物-计算机,"('300595.SZ', '002373.SZ')",1.3194198021976042,510606403.0,1.6786384300000003,-1.7421303752546613,-1.3045180789859967
医药生物-有色金属,"('301301.SZ', '000426.SZ')",1.333045631548126,958861824.8730159,17.685162790000003,-2.09349144,-2.0535177307392627
医药生物-有色金属,"('301301.SZ', '002532.SZ')",1.3212606564869476,949359257.8888888,17.685162790000003,-2.09349144,-2.0535177307392627
医药生物-机械设备,"('300003.SZ', '000039.SZ')",1.227971673600101,550499719.7142857,1.6186260300000002,-1.1323476499999998,-1.0082684292453916
医药生物-机械设备,"('300009.SZ', '600499.SH')",0.8294121853071772,307272770.3492063,1.6186260300000002,-1.1323476499999998,-1.0082684292453916
医药生物-公用事业,"('301301.SZ', '600995.SH')",1.4744105103398764,608095797.8015873,6443.330071120002,-17.16940314979969,-0.5641463605954642
医药生物-公用事业,"('000513.SZ', '600863.SH')",1.3696669497096354,558336433.1111112,6443.330071120002,-17.16940314979969,-0.5641463605954642
医药生物-传媒,"('603456.SH', '002739.SZ')",1.363711356467221,633947783.3650794,1.2188176899999998,-0.8307336000000001,0.946180394681372
医药生物-传媒,"('300009.SZ', '002739.SZ')",1.1224091198580302,585426600.8571429,1.2188176899999998,-0.8307336000000001,0.946180394681372
医药生物-汽车,"('300142.SZ', '601966.SH')",1.3709113416941148,616824829.6507937,-0.6154304000000003,-0.7026757018958252,-0.44500596893735206
医药生物-汽车,"('600529.SH', '601966.SH')",1.245959679772907,549205622.2222222,-0.6154304000000003,-0.7026757018958252,-0.44500596893735206
医药生物-交通运输,"('301301.SZ', '002120.SZ')",1.4540145259372848,708258712.3333334,88.80826395000001,-1.7481474821479717,-2.461484963392319
医药生物-交通运输,"('600079.SH', '603885.SH')",1.1884095357879743,596676175.1269841,88.80826395000001,-1.7481474821479717,-2.461484963392319
医药生物-钢铁,"('002044.SZ', '600808.SH')",0.6423428411330846,591751655.968254,9122900.863858229,-5.602179553606139,-4.596840914721728
